9.000000e+00
16
0   0.0625   0.46109   -0.00650077   0.522333   0.259502   0.0840111   -0.148161
1   0.0625   1.26554   0.396113   0.0961424   0.876689   0.547619   -0.421987
2   0.0625   1.03187   0.488032   0.770863   0.0883532   0.29302   -0.181856
3   0.0625   -0.41411   -0.721194   -2.06982   0.0677951   -0.219516   -0.556578
4   0.0625   -1.78952   -0.427667   0.611626   -0.884486   -0.159703   -0.0363011
5   0.0625   -1.33761   -0.470841   -0.157951   -0.27971   -0.220079   -0.0240035
6   0.0625   -2.36992   -0.802938   -0.312251   -0.855476   -0.107062   0.054993
7   0.0625   1.04302   0.739473   0.0177287   0.276359   0.116819   0.366697
8   0.0625   0.821259   0.489359   -0.438738   0.759536   -0.628465   0.193383
9   0.0625   -0.183086   -0.638546   0.202722   0.25997   0.0713873   -0.420833
10   0.0625   1.3905   0.219563   -0.0124254   0.0101251   0.459834   -0.266435
11   0.0625   -0.182858   -0.686118   0.0301138   -0.733042   -0.498407   0.477569
12   0.0625   0.240498   0.472115   -0.288607   -0.141425   -0.0349425   0.229265
13   0.0625   -0.992641   0.553993   0.973543   -0.221324   -0.211653   0.422114
14   0.0625   1.18694   0.857442   -0.042799   0.423532   0.136452   0.210578
15   0.0625   -0.170962   -0.462286   0.097523   0.0936016   0.370684   0.101557
